ï»¿"Data Source","World Development Indicators"

"Last Updated Date","2020-03-18"

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"Aruba","ABW","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Afghanistan","AFG","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.44339057","8.94125853","9.80847323","9.94828911","10.62276563","9.90467425","10.25649568","9.81848731","8.56967118","8.56190731","7.89716844","8.8059641","9.52887835","10.09395812","10.19867734","","",""
"Angola","AGO","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.33443523","5.48382352","4.0722882","4.45409993","4.75721084","3.73483575","3.36618335","3.21143792","3.49503605","3.5786773","2.73668404","2.84060264","2.69289044","2.9909286","2.79871941","2.9504308","2.87782524","","",""
"Albania","ALB","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.76132337","6.51584893","6.43433172","6.35372947","6.55977303","6.3428304","5.93267196","6.12899955","5.56658865","5.09043094","5.00999686","5.60327041","5.84830141","6.34386087","6.91679461","6.81974032","6.69789475","","",""
"Andorra","AND","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.34810142","9.36303175","9.11928151","8.46399555","8.2105437","8.56598259","8.43428174","8.42840207","8.79254158","9.02673648","9.44967141","9.76589433","10.0469414","10.11211363","10.27647843","10.26117376","10.36772767","","",""
"Arab World","ARB","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.9947826840787","4.29762697739377","4.28273358420954","4.12885762670652","3.80046666300418","3.48846781065254","3.48456020775903","3.57226478563448","3.40448458855087","4.45568829220644","3.9870865658002","3.94583390921951","4.01266915879019","4.2327786948989","4.56728933431793","5.02588388444174","4.88791523189039","","",""
"United Arab Emirates","ARE","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.37413528","2.48437055","2.71770866","2.64634393","2.46204336","2.32019676","2.32541382","2.56569632","2.92847511","4.04999315","3.87748451","3.66753542","3.42311687","3.59005323","3.62966276","3.58545347","3.51684955","","",""
"Argentina","ARG","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.46696453","8.62096807","7.67272924","7.13188245","6.99268547","7.62903684","7.56810123","7.61793101","7.66306468","9.0087642","8.61198493","8.39473866","8.40588238","8.37804641","8.23722377","8.74331517","7.54838404","","",""
"Armenia","ARM","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.50522445","6.53626247","5.69081243","5.61072465","8.22784404","7.03488014","5.58846065","5.44514418","4.34674945","4.68904566","5.26418115","3.77725969","6.71185884","8.26983964","10.17829917","10.11762751","9.92732109","","",""
"American Samoa","ASM","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Antigua and Barbuda","ATG","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.86616444","4.38242021","4.33798022","4.44598377","4.103557","4.52660086","4.60802371","4.65372633","4.8943254","4.53530726","5.44945777","5.69953093","5.14781703","5.37923378","5.79066573","4.71598097","4.30900835","","",""
"Australia","AUS","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.61707773","7.69938881","7.89658743","7.91207047","8.11845983","7.99579299","8.000101","8.07836906","8.26794704","8.57721647","8.44516726","8.55670577","8.68936294","8.77363922","9.05467885","9.33006717","9.25209201","","",""
"Austria","AUT","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.20371376","9.26942913","9.39476496","9.54723934","9.70939878","9.62702946","9.53113317","9.5320968","9.72564585","10.22582486","10.22101873","10.0261327","10.1991558","10.28574895","10.37068975","10.34288459","10.43762567","","",""
"Azerbaijan","AZE","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.83484085","3.6925085","3.71932674","5.99169193","7.34419951","7.39779669","5.74622122","4.71663216","3.9974416","5.38740152","4.91139611","4.63010097","4.97886665","5.13332142","5.56193369","6.83903754","6.89059972","","",""
"Burundi","BDI","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.1769717","6.40484397","6.47216086","6.31327698","7.70102642","8.42368558","9.9423231","10.58081167","9.23542747","10.35023271","11.27638905","9.96448336","8.63756421","8.22941463","5.39602419","4.88310844","6.19156298","","",""
"Spain","ESP","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.8160619","6.78313377","6.80292358","7.53018064","7.6191456","7.67640382","7.75518882","7.83671201","8.28895456","8.98877969","9.02200151","9.09120733","9.07564442","9.02537972","9.02414667","9.12012883","8.97038932","","",""
"Italy","ITA","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.58037235","7.76886299","7.89303446","7.85541424","8.18779716","8.3612048","8.45968681","8.16283649","8.56183142","8.97653684","8.95361182","8.83464291","8.95606116","8.95226727","9.01144092","8.98541669","8.93549301","","",""
"Belgium","BEL","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.94200339","8.10531987","8.26349835","9.04339956","9.05378647","8.96633019","8.86284512","8.88910585","9.27231823","9.99622285","9.84112539","10.0035341","10.10650062","10.27055629","10.34051179","10.10563808","10.03841793","","",""
"Germany","DEU","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.82754385","9.86402734","10.10958272","10.33178985","10.07623468","10.22530706","10.11344406","9.96852656","10.15493376","11.13743151","11.0039689","10.71509959","10.76729532","10.91510275","10.95738405","11.07906625","11.13916763","","",""
"Greece","GRC","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.24332552","7.98783985","8.23378017","8.19821017","7.93223791","8.99658302","8.96532608","9.06037384","9.38345982","9.46849875","9.56003701","9.0980985","8.88281165","8.41445401","7.94998091","8.19431265","8.45429347","","",""
